Episode 1 | Reward: 63.00 | Loss: 402470082197205.6250 | ε: 0.199
Episode 2 | Reward: 84.00 | Loss: 29187520962425856.0000 | ε: 0.198
Episode 3 | Reward: 105.00 | Loss: 593160435178668032.0000 | ε: 0.197
Episode 4 | Reward: 84.00 | Loss: 716842363106361344.0000 | ε: 0.196
Episode 5 | Reward: 21.00 | Loss: 362120408738562048.0000 | ε: 0.195
Episode 6 | Reward: 0.00 | Loss: 249729722831601664.0000 | ε: 0.194
Episode 7 | Reward: 63.00 | Loss: 130963803679555584.0000 | ε: 0.193
Episode 8 | Reward: 84.00 | Loss: 81717117973954560.0000 | ε: 0.192
Episode 9 | Reward: 63.00 | Loss: 37301664098385920.0000 | ε: 0.191
Episode 10 | Reward: 21.00 | Loss: 45836857673252864.0000 | ε: 0.190
Episode 11 | Reward: 168.00 | Loss: 39604874102734848.0000 | ε: 0.189
Episode 12 | Reward: 252.00 | Loss: 27179555587751936.0000 | ε: 0.188
Episode 13 | Reward: 378.00 | Loss: 15561482918002688.0000 | ε: 0.187
Episode 14 | Reward: 315.00 | Loss: 10544186278297600.0000 | ε: 0.186
Episode 15 | Reward: 168.00 | Loss: 9803434912546816.0000 | ε: 0.186
Episode 16 | Reward: 126.00 | Loss: 15318056962408448.0000 | ε: 0.185
Episode 17 | Reward: 84.00 | Loss: 62918374549880832.0000 | ε: 0.184
Episode 18 | Reward: 147.00 | Loss: 341151266341650432.0000 | ε: 0.183
Episode 19 | Reward: 63.00 | Loss: 231394668479578112.0000 | ε: 0.182
Episode 20 | Reward: 105.00 | Loss: 50929445648465920.0000 | ε: 0.181
Episode 21 | Reward: 147.00 | Loss: 10358357508030464.0000 | ε: 0.180
Episode 22 | Reward: 126.00 | Loss: 3841006496284672.0000 | ε: 0.179
Episode 23 | Reward: 42.00 | Loss: 1598004517240832.0000 | ε: 0.178
Episode 24 | Reward: 84.00 | Loss: 1418115529654272.0000 | ε: 0.177
Episode 25 | Reward: 63.00 | Loss: 831602964824064.0000 | ε: 0.176
Episode 26 | Reward: 63.00 | Loss: 876238912528384.0000 | ε: 0.176
Episode 27 | Reward: 42.00 | Loss: 511876859207680.0000 | ε: 0.175
Episode 28 | Reward: 84.00 | Loss: 350457443213312.0000 | ε: 0.174
Episode 29 | Reward: 63.00 | Loss: 164684693159936.0000 | ε: 0.173
Episode 30 | Reward: 84.00 | Loss: 133535974449152.0000 | ε: 0.172
Episode 31 | Reward: 63.00 | Loss: 120484316102656.0000 | ε: 0.171
Episode 32 | Reward: 147.00 | Loss: 52547580506112.0000 | ε: 0.170
Episode 33 | Reward: 84.00 | Loss: 20750230091776.0000 | ε: 0.170
Episode 34 | Reward: 336.00 | Loss: 32499590733312.0000 | ε: 0.169
Episode 35 | Reward: 294.00 | Loss: 16870623389952.0000 | ε: 0.168
Episode 36 | Reward: 189.00 | Loss: 10726786476288.0000 | ε: 0.167
Episode 37 | Reward: 21.00 | Loss: 4049196044928.0000 | ε: 0.166
Episode 38 | Reward: 63.00 | Loss: 2452578147264.0000 | ε: 0.165
Episode 39 | Reward: 84.00 | Loss: 1028848347168.0000 | ε: 0.164
Episode 40 | Reward: 126.00 | Loss: 678702209616.0000 | ε: 0.164
Episode 41 | Reward: 105.00 | Loss: 441558744080.0000 | ε: 0.163
Episode 42 | Reward: 84.00 | Loss: 237170468212.0000 | ε: 0.162
Episode 43 | Reward: 84.00 | Loss: 130415530928.0000 | ε: 0.161
Episode 44 | Reward: 42.00 | Loss: 137498111330.0000 | ε: 0.160
Episode 45 | Reward: 63.00 | Loss: 65277607126.0000 | ε: 0.160
Episode 46 | Reward: 42.00 | Loss: 42935399638.0000 | ε: 0.159
