episode,timestep,reward
96,2000,-0.8528
188,4000,-0.4713
274,6000,1.117
360,8000,2.6666
443,10000,4.3711
521,12000,4.5074
590,14000,7.7288
666,16000,5.7729
724,18000,10.7337
777,20000,12.9141
825,22000,19.3692
873,24000,15.7961
909,26000,23.3897
947,28000,29.4621
977,30000,29.2561
1006,32000,27.732
1035,34000,38.9413
1061,36000,51.1368
1083,38000,53.9804
1107,40000,47.2149
1126,42000,49.3348
1147,44000,70.391
1167,46000,96.9855
1186,48000,90.9684
1204,50000,86.1585
1220,52000,120.7853
1238,54000,88.7749
1251,56000,125.9924
1266,58000,124.215
1281,60000,131.2776
1293,62000,141.6669
1306,64000,131.4223
1320,66000,173.7132
1335,68000,129.4805
1350,70000,134.9119
1363,72000,157.761
1376,74000,113.8075
